gene,variance
ENSG00000006042,115702374.01532143
ENSG00000006047,216987.71162790695
ENSG00000006059,48.31039671682641
ENSG00000006062,3309271.0922024637
ENSG00000006071,1444.1128590971255
ENSG00000006116,6.808344733242132
ENSG00000006118,179988260.07004103
ENSG00000006125,136521352.20246238
ENSG00000006128,6164.451025991791
ENSG00000006194,1252731.5244870046
ENSG00000006210,7862684.563201091
ENSG00000006282,11901816.09480164
ENSG00000006283,349351.30957592354
ENSG00000006327,61030222.75567716
ENSG00000006377,9615.190834473324
ENSG00000006432,304262.1658002736
ENSG00000006451,3197617.1038303706
ENSG00000006453,5354491.381805747
ENSG00000006459,663990.6035567714
ENSG00000006468,12204412.885362519
ENSG00000006530,509823.4998632011
ENSG00000006534,159190486.5735978
ENSG00000006555,204855.76470588235
ENSG00000006576,4081501.432010943
ENSG00000006606,18303.480848153227
ENSG00000006607,1269466.6511627908
ENSG00000006611,34452.78262653898
ENSG00000006625,2137627.2116279067
ENSG00000006634,198177.88618331045
ENSG00000006638,208953.04528043768
ENSG00000006652,1347655.359233926
ENSG00000006659,2.8339261285909703
ENSG00000006695,368047.9590971272
ENSG00000006704,1634836.3771545826
ENSG00000006712,4002023.034746923
ENSG00000006715,3222607.0168262655
ENSG00000006740,38701156.2380301
ENSG00000006744,4293818.304377567
ENSG00000006747,1547718.9281805744
ENSG00000006756,5319949.173324214
ENSG00000006757,984601.8922024623
ENSG00000006788,2821.3767441860427
ENSG00000006831,5875966.453214775
ENSG00000006837,5348.03515731874
ENSG00000007001,87.39808481532147
ENSG00000007038,43156.04213406289
ENSG00000007047,1545209.033789329
ENSG00000007062,163492.49794801633
ENSG00000007080,5338503.738987689
ENSG00000007129,18787.518604651166
ENSG00000007168,21785761.116826266
ENSG00000007171,8624.918331053352
ENSG00000007174,78726.88932968535
ENSG00000007202,78880363.00246236
ENSG00000007216,9.63625170998635
ENSG00000007237,12075441.961833106
ENSG00000007255,1216213.8874145006
ENSG00000007264,2201106.5663474686
ENSG00000007306,7.005335157318735
ENSG00000007312,756447.7396716825
ENSG00000007314,10209.723803009574
ENSG00000007341,114600.08262653896
ENSG00000007350,552592831.2389878
ENSG00000007372,502127.3991792067
ENSG00000007376,904757.7495212036
ENSG00000007384,6492814.745280438
ENSG00000007392,2471186.42749658
ENSG00000007402,1919934.2288645694
ENSG00000007516,153843.53105335156
ENSG00000007520,4042210.9860465107
ENSG00000007541,4089922.0674418597
ENSG00000007545,1464583.2180574555
ENSG00000007866,2132676.0767441858
ENSG00000007908,2697361.6794801643
ENSG00000007923,1928077.8792065661
ENSG00000007933,64512.15335157317
ENSG00000007944,1162516.5270861832
ENSG00000007952,103069.54103967166
ENSG00000007968,132253.99781121753
ENSG00000008018,20831449.73201095
ENSG00000008056,1130584.3984952124
ENSG00000008083,325158.71751026
ENSG00000008086,317706.37058823527
ENSG00000008118,2654.5889192886457
ENSG00000008128,829417.6421340627
ENSG00000008130,4193969.8808481526
ENSG00000008196,45.66839945280436
ENSG00000008197,0
ENSG00000008226,380173.1804377565
ENSG00000008256,52332345.31162792
ENSG00000008277,135685.86320109438
ENSG00000008282,12963212.579069769
ENSG00000008283,20786540.69712722
ENSG00000008294,30261596.14391244
ENSG00000008300,3659022.3994528046
ENSG00000008311,973301.0693570452
ENSG00000008323,13736.71586867305
ENSG00000008324,197723.90752393985
ENSG00000008382,248105.59507523937
ENSG00000008394,39424166.853625186
ENSG00000008405,2419712.865116279
ENSG00000008438,15.58153214774284
