mtry,splitrule,min.node.size,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
50,gini,10,0.7612301587301588,0.725,0.6114285714285714,0.08257611176847006,0.12167649630510577,0.143440031082703
50,gini,15,0.7490178571428572,0.7444444444444445,0.6228571428571429,0.0821495402697402,0.13572791865063932,0.15553151134226195
50,gini,20,0.7561904761904763,0.7394444444444445,0.6228571428571429,0.08411731982446774,0.13012142161127782,0.14692135431495823
75,gini,1,0.756001984126984,0.7116666666666666,0.6428571428571428,0.08963796125057671,0.12756372973550487,0.13658087982837816
75,gini,3,0.7585317460317459,0.735,0.6342857142857143,0.08547451864594281,0.12447936844603719,0.17588152610348193
75,gini,5,0.7484424603174604,0.7166666666666667,0.6335714285714286,0.08772734077450263,0.13333815577698768,0.14654104275213942
75,gini,10,0.7537698412698411,0.733888888888889,0.6278571428571429,0.08631730365030973,0.135293747631397,0.1401036727414605
75,gini,15,0.7494146825396826,0.7394444444444445,0.6228571428571429,0.08512820078189808,0.12281265216118492,0.14242120986850296
75,gini,20,0.7549107142857143,0.7350000000000001,0.6378571428571429,0.0883814170995469,0.1464888266641813,0.14410909746712425
100,gini,1,0.756061507936508,0.7105555555555556,0.6335714285714286,0.08682265161392486,0.12517220648259006,0.16334812684636973
100,gini,3,0.7578769841269842,0.7111111111111111,0.6485714285714286,0.08989293262893204,0.1449488167079006,0.15977902470191097
100,gini,5,0.7521230158730158,0.72,0.6485714285714286,0.0849411845284261,0.1343398544813028,0.14704790625742986
100,gini,10,0.7586904761904762,0.73,0.6242857142857143,0.08547444308249245,0.1263481822929174,0.15817101418367133
100,gini,15,0.7474404761904762,0.7255555555555556,0.6121428571428571,0.09069716782149177,0.13721678651702066,0.13398014879865167
100,gini,20,0.7500892857142857,0.7250000000000001,0.6171428571428571,0.08850318458127913,0.143163389778391,0.14462080960715362
150,gini,1,0.7576041666666667,0.7316666666666667,0.6335714285714286,0.08908540278184668,0.1339227903906136,0.14061862230435737
150,gini,3,0.7541170634920636,0.725,0.6385714285714286,0.08446837105117744,0.13194444444444442,0.16098522136083995
150,gini,5,0.7454861111111113,0.7161111111111111,0.6335714285714286,0.0896710298002841,0.1318274334963031,0.1420288487510584
150,gini,10,0.7569543650793652,0.725,0.6428571428571429,0.08912408439586576,0.12798644395165817,0.14267100969293908
150,gini,15,0.748154761904762,0.715,0.6178571428571429,0.08555005108836011,0.13346588704277665,0.13521210347143506
150,gini,20,0.742529761904762,0.7305555555555557,0.6228571428571429,0.09222395897508277,0.13182255578614674,0.1482716469609649
250,gini,1,0.7431299603174604,0.7111111111111111,0.6285714285714286,0.09596613317613828,0.1356686876119685,0.14313588876679817
250,gini,3,0.741984126984127,0.7061111111111111,0.6235714285714287,0.08853242406148738,0.1411665099770291,0.15116469596477364
250,gini,5,0.7474007936507937,0.7161111111111111,0.6328571428571429,0.08791236000707241,0.1413599621140614,0.15534003737248284
250,gini,10,0.7498313492063492,0.7311111111111112,0.6342857142857143,0.09482209704597627,0.13530562873999102,0.17954496528118835
250,gini,15,0.7462500000000002,0.7305555555555557,0.6128571428571429,0.09397157239625475,0.11954399383032738,0.15919586938715455
250,gini,20,0.7447519841269843,0.7255555555555557,0.6021428571428571,0.08622225483555761,0.12546723376631524,0.13107272608673987
400,gini,1,0.7387847222222225,0.7116666666666669,0.6121428571428571,0.09345236422271713,0.14011495868068669,0.13875432824039102
400,gini,3,0.7496726190476192,0.7155555555555557,0.6335714285714286,0.08731053279460911,0.1379668468257692,0.14202884875105837
400,gini,5,0.7458630952380954,0.6911111111111111,0.6335714285714286,0.08928366813131611,0.14874085717311364,0.1593126712188467
400,gini,10,0.7426289682539684,0.715,0.6135714285714287,0.08833171349034373,0.12849536828532726,0.16710825852730082
400,gini,15,0.7381646825396827,0.7061111111111111,0.6278571428571429,0.08815372677804419,0.11816987928558771,0.1401036727414605
400,gini,20,0.738373015873016,0.715,0.6071428571428571,0.09542756034015357,0.13346588704277665,0.1436917583877775
