model_label,threshold,sensitivity,specificity,accuracy
Methylation Random Forest,0.8,0,1,0.48148148148148145
Methylation Random Forest,0.81,0,1,0.48148148148148145
Methylation Random Forest,0.8200000000000001,0,1,0.48148148148148145
Methylation Random Forest,0.8300000000000001,0,1,0.48148148148148145
Methylation Random Forest,0.8400000000000001,0,1,0.48148148148148145
Methylation Random Forest,0.8500000000000001,0,1,0.48148148148148145
Methylation Random Forest,0.8600000000000001,0,1,0.48148148148148145
Methylation Random Forest,0.8700000000000001,0,1,0.48148148148148145
Methylation Random Forest,0.8800000000000001,0,1,0.48148148148148145
Methylation Random Forest,0.89,0,1,0.48148148148148145
Methylation Random Forest,0.9,0,1,0.48148148148148145
Methylation Random Forest,0.91,0,1,0.48148148148148145
Methylation Random Forest,0.92,0,1,0.48148148148148145
Methylation Random Forest,0.93,0,1,0.48148148148148145
Methylation Random Forest,0.9400000000000001,0,1,0.48148148148148145
Methylation Random Forest,0.95,0,1,0.48148148148148145
Multiomic Random Forest,0.05,1,0,0.525
Multiomic Random Forest,0.060000000000000005,1,0,0.525
Multiomic Random Forest,0.07,1,0,0.525
Multiomic Random Forest,0.08,1,0,0.525
Multiomic Random Forest,0.09,1,0,0.525
Multiomic Random Forest,0.1,1,0,0.525
Multiomic Random Forest,0.11,1,0,0.525
Multiomic Random Forest,0.12000000000000001,1,0,0.525
Multiomic Random Forest,0.13,1,0,0.525
Multiomic Random Forest,0.14,1,0,0.525
Multiomic Random Forest,0.15000000000000002,1,0,0.525
Multiomic Random Forest,0.16,1,0,0.525
Multiomic Random Forest,0.16999999999999998,1,0,0.525
Multiomic Random Forest,0.18,1,0.005263157894736842,0.5275
Multiomic Random Forest,0.19,1,0.010526315789473684,0.53
Multiomic Random Forest,0.2,1,0.015789473684210527,0.5325
Multiomic Random Forest,0.21000000000000002,1,0.021052631578947368,0.535
Multiomic Random Forest,0.22000000000000003,1,0.03684210526315789,0.5425
Multiomic Random Forest,0.22999999999999998,1,0.04736842105263158,0.5475
Multiomic Random Forest,0.24,1,0.05263157894736842,0.55
Multiomic Random Forest,0.25,1,0.07368421052631578,0.56
Multiomic Random Forest,0.26,1,0.09473684210526316,0.57
Multiomic Random Forest,0.27,0.9952380952380953,0.12105263157894737,0.58
Multiomic Random Forest,0.28,0.9952380952380953,0.12631578947368421,0.5825
Multiomic Random Forest,0.29,0.9952380952380953,0.13157894736842105,0.585
Multiomic Random Forest,0.3,0.9857142857142858,0.1368421052631579,0.5825
Multiomic Random Forest,0.31,0.9761904761904762,0.14210526315789473,0.58
Multiomic Random Forest,0.32,0.9761904761904762,0.15789473684210525,0.5875
Multiomic Random Forest,0.33,0.9761904761904762,0.15789473684210525,0.5875
Multiomic Random Forest,0.33999999999999997,0.9761904761904762,0.17894736842105263,0.5975
Multiomic Random Forest,0.35,0.9666666666666667,0.21052631578947367,0.6075
Multiomic Random Forest,0.36,0.9666666666666667,0.22631578947368422,0.615
Multiomic Random Forest,0.37,0.9571428571428572,0.24736842105263157,0.62
Multiomic Random Forest,0.38,0.9428571428571428,0.25263157894736843,0.615
Multiomic Random Forest,0.39,0.9333333333333333,0.26842105263157895,0.6175
Multiomic Random Forest,0.4,0.9285714285714286,0.2894736842105263,0.625
Multiomic Random Forest,0.41,0.9285714285714286,0.3473684210526316,0.6525
Multiomic Random Forest,0.42,0.9285714285714286,0.37894736842105264,0.6675
Multiomic Random Forest,0.43,0.9142857142857143,0.4105263157894737,0.675
Multiomic Random Forest,0.44,0.8904761904761904,0.4473684210526316,0.68
Multiomic Random Forest,0.45,0.8714285714285714,0.46842105263157896,0.68
Multiomic Random Forest,0.46,0.861904761904762,0.5105263157894737,0.695
Multiomic Random Forest,0.47,0.8476190476190476,0.5578947368421052,0.71
Multiomic Random Forest,0.48,0.8285714285714286,0.5894736842105263,0.715
Multiomic Random Forest,0.49,0.8,0.6157894736842106,0.7125
Multiomic Random Forest,0.5,0.7761904761904762,0.6263157894736842,0.705
Multiomic Random Forest,0.51,0.7476190476190476,0.6421052631578947,0.6975
Multiomic Random Forest,0.52,0.719047619047619,0.6631578947368421,0.6925
Multiomic Random Forest,0.53,0.680952380952381,0.6789473684210526,0.68
Multiomic Random Forest,0.54,0.6523809523809524,0.7,0.675
Multiomic Random Forest,0.55,0.6095238095238096,0.7210526315789474,0.6625
Multiomic Random Forest,0.56,0.6,0.7421052631578947,0.6675
Multiomic Random Forest,0.5700000000000001,0.5619047619047619,0.7684210526315789,0.66
Multiomic Random Forest,0.5800000000000001,0.5285714285714286,0.7947368421052632,0.655
Multiomic Random Forest,0.5900000000000001,0.5047619047619047,0.8263157894736842,0.6575
Multiomic Random Forest,0.6000000000000001,0.45714285714285713,0.8421052631578947,0.64
Multiomic Random Forest,0.6100000000000001,0.4238095238095238,0.8789473684210526,0.64
Multiomic Random Forest,0.6200000000000001,0.38571428571428573,0.8947368421052632,0.6275
Multiomic Random Forest,0.63,0.37142857142857144,0.9,0.6225
Multiomic Random Forest,0.64,0.3380952380952381,0.9105263157894737,0.61
Multiomic Random Forest,0.65,0.3,0.9315789473684211,0.6
Multiomic Random Forest,0.66,0.24285714285714285,0.9421052631578948,0.575
Multiomic Random Forest,0.67,0.23333333333333334,0.9473684210526315,0.5725
Multiomic Random Forest,0.68,0.19047619047619047,0.9631578947368421,0.5575
