mtry,splitrule,min.node.size,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
20,gini,20,0.7229960317460318,0.6192857142857142,0.7055555555555556,0.0974734544651547,0.17349327066484854,0.17379619763607373
35,gini,1,0.7296527777777777,0.6242857142857142,0.7055555555555556,0.10269218643758356,0.1765871901194583,0.1722166217727395
35,gini,3,0.7254712301587302,0.6185714285714285,0.6955555555555557,0.10302021055514309,0.17586339492193762,0.17961471396645384
35,gini,5,0.7267857142857143,0.6142857142857142,0.6961111111111111,0.09361769712545308,0.17511536527804347,0.17283716378483302
35,gini,10,0.7269047619047619,0.6135714285714285,0.7055555555555557,0.10140114940197148,0.1774428623184238,0.16531084325330672
35,gini,15,0.7287003968253969,0.6085714285714285,0.7011111111111111,0.09097057237430045,0.1714285714285714,0.17913077446977088
35,gini,20,0.7334722222222222,0.6192857142857142,0.71,0.09894514638105266,0.18084269858817376,0.17999021178233157
50,gini,1,0.73036210317460315,0.6185714285714285,0.7105555555555556,0.10078928214511106,0.179527204085628,0.18262172500675936
50,gini,3,0.7324900793650794,0.6185714285714285,0.7011111111111111,0.09654148607507129,0.17586339492193762,0.17623571652130499
50,gini,5,0.7330257936507937,0.6342857142857141,0.7155555555555556,0.09623836378522811,0.1799884255537931,0.17240879977159845
50,gini,10,0.7288591269841269,0.6142857142857142,0.7011111111111111,0.09812139972106228,0.1675148485651225,0.17545868752731106
50,gini,15,0.7307043650793651,0.6078571428571429,0.6961111111111111,0.09091975164304358,0.18575434549627173,0.1720447861349306
50,gini,20,0.7298214285714287,0.6085714285714285,0.6866666666666668,0.09579725812036995,0.1788628574319092,0.1780036903718803
75,gini,1,0.7275099206349206,0.6449999999999999,0.6816666666666668,0.09769427091175768,0.16919741016174622,0.1602707970750184
75,gini,3,0.7232936507936509,0.6292857142857142,0.705,0.09468103322879527,0.1772480726318362,0.17021115245410062
75,gini,5,0.7344742063492063,0.6235714285714284,0.7005555555555557,0.09844691652921535,0.18499747194448454,0.18290318505395323
75,gini,10,0.7291765873015872,0.6142857142857142,0.6955555555555557,0.09347109984406937,0.17135725202958077,0.17221288803856802
75,gini,15,0.7322123015873017,0.6292857142857142,0.7044444444444445,0.09438306206168506,0.16974307816530845,0.15369673121177688
75,gini,20,0.7282242063492065,0.6285714285714286,0.6861111111111111,0.09670740197898009,0.1683850614263766,0.16844155242802217
100,gini,1,0.7369890873015873,0.6185714285714285,0.7111111111111111,0.09570923863300566,0.17586339492193762,0.1780452270650871
100,gini,3,0.7280158730158729,0.6285714285714284,0.6911111111111111,0.09782292481476577,0.1683850614263766,0.1722296892049144
100,gini,5,0.7274404761904762,0.6185714285714285,0.6961111111111111,0.0939260724633934,0.17586339492193762,0.16821808791827553
100,gini,10,0.7307539682539682,0.6292857142857142,0.6961111111111111,0.09740468853530845,0.1709131636937586,0.17578820145148347
100,gini,15,0.7301190476190478,0.6192857142857142,0.7055555555555557,0.092132380003894,0.17349327066484854,0.17142137575531127
100,gini,20,0.7354464285714285,0.6135714285714285,0.71,0.09175555855088727,0.1737351031151211,0.16341936824530767
150,gini,1,0.733546626984127,0.6392857142857141,0.6911111111111111,0.09283948616675494,0.17297787008000465,0.1722296892049144
150,gini,3,0.7372222222222221,0.6299999999999999,0.7105555555555557,0.09151175512163147,0.17224816478589502,0.17689850557797304
150,gini,5,0.7293948412698412,0.6449999999999999,0.7011111111111111,0.10039471772993121,0.16919741016174622,0.17913077446977088
150,gini,10,0.7341666666666665,0.6399999999999999,0.6955555555555557,0.09069038432124382,0.17394910409751047,0.16839001001618545
150,gini,15,0.7357638888888889,0.6285714285714286,0.7055555555555557,0.09260617341824047,0.16046607817510206,0.17142137575531127
150,gini,20,0.7286904761904762,0.6185714285714285,0.715,0.09932202044591927,0.179527204085628,0.17637248392654606
