gene,skewness,abs_skewness
ENSG00000227376,1.140972125297259,1.140972125297259
ENSG00000250770,1.1406848674279413,1.1406848674279413
ENSG00000031081,1.1397354154031025,1.1397354154031025
ENSG00000259116,1.1383413860879545,1.1383413860879545
ENSG00000205794,1.1377099817797625,1.1377099817797625
ENSG00000175322,1.1375336526845268,1.1375336526845268
ENSG00000237711,1.1368613063873994,1.1368613063873994
ENSG00000014641,1.1360497886081735,1.1360497886081735
ENSG00000226330,1.1356164337536592,1.1356164337536592
ENSG00000134897,1.1353673531997566,1.1353673531997566
ENSG00000129680,1.1348183122154918,1.1348183122154918
ENSG00000224065,1.1342528012535396,1.1342528012535396
ENSG00000270392,1.131666444793538,1.131666444793538
ENSG00000108474,1.1313535083350954,1.1313535083350954
ENSG00000256464,1.1305821473143816,1.1305821473143816
ENSG00000185880,1.130372263964649,1.130372263964649
ENSG00000255717,1.1302590922185272,1.1302590922185272
ENSG00000267544,1.1297696287047994,1.1297696287047994
ENSG00000166197,1.1293764360158494,1.1293764360158494
ENSG00000166925,1.1289253296661548,1.1289253296661548
ENSG00000119402,1.1279874268975492,1.1279874268975492
ENSG00000201492,1.1277408277294927,1.1277408277294927
ENSG00000197483,1.1269012458323924,1.1269012458323924
ENSG00000225151,1.125441623266592,1.125441623266592
ENSG00000182327,1.1248180875973746,1.1248180875973746
ENSG00000103067,1.1245170326048577,1.1245170326048577
ENSG00000257773,1.1227436227866845,1.1227436227866845
ENSG00000148429,1.1215098843548759,1.1215098843548759
ENSG00000270983,1.1208668513232114,1.1208668513232114
ENSG00000112343,1.1191749476396884,1.1191749476396884
ENSG00000224051,1.1182699466332746,1.1182699466332746
ENSG00000228407,1.1182566424199702,1.1182566424199702
ENSG00000174032,1.114156454572832,1.114156454572832
ENSG00000272265,1.1127165683373808,1.1127165683373808
ENSG00000117859,1.1126478439598249,1.1126478439598249
ENSG00000283978,1.1115249945719867,1.1115249945719867
ENSG00000163071,1.1104098027851046,1.1104098027851046
ENSG00000271181,1.1102626522402648,1.1102626522402648
ENSG00000099974,1.1100828335022657,1.1100828335022657
ENSG00000105643,1.1098956771277209,1.1098956771277209
ENSG00000090554,1.1089153467746182,1.1089153467746182
ENSG00000203288,1.1085643405579007,1.1085643405579007
ENSG00000173726,1.1065387383796828,1.1065387383796828
ENSG00000117899,1.1060316951888924,1.1060316951888924
ENSG00000163291,1.1048108171644024,1.1048108171644024
ENSG00000159899,1.1029694316115013,1.1029694316115013
ENSG00000227183,1.1023282141456239,1.1023282141456239
ENSG00000166133,1.1009671001682295,1.1009671001682295
ENSG00000248578,1.099528183133577,1.099528183133577
ENSG00000108439,1.099275743846844,1.099275743846844
ENSG00000278487,1.0982003284993154,1.0982003284993154
ENSG00000277172,1.0967193658119376,1.0967193658119376
ENSG00000143553,1.0953174183475434,1.0953174183475434
ENSG00000230662,1.0946832530918675,1.0946832530918675
ENSG00000164062,1.094036939695841,1.094036939695841
ENSG00000226160,1.0939536808596222,1.0939536808596222
ENSG00000119640,1.093321649305069,1.093321649305069
ENSG00000280254,1.0913224155646144,1.0913224155646144
ENSG00000230793,1.0900598817600549,1.0900598817600549
ENSG00000010165,1.0889893056117566,1.0889893056117566
ENSG00000234985,1.088632703924477,1.088632703924477
ENSG00000233057,1.0877776398093397,1.0877776398093397
ENSG00000233990,1.0865888518814737,1.0865888518814737
ENSG00000214894,1.086542785053115,1.086542785053115
ENSG00000234213,1.085770171746679,1.085770171746679
ENSG00000272219,1.085695658705316,1.085695658705316
ENSG00000271643,1.0849051377115433,1.0849051377115433
ENSG00000166484,1.0845654771279114,1.0845654771279114
ENSG00000278275,1.0844267346690064,1.0844267346690064
ENSG00000227543,1.0837574872734468,1.0837574872734468
ENSG00000141447,1.083627283038388,1.083627283038388
ENSG00000222503,1.0807919200830471,1.0807919200830471
ENSG00000180855,1.080327432877769,1.080327432877769
ENSG00000239096,1.0803224695323648,1.0803224695323648
ENSG00000108479,1.0802406162564069,1.0802406162564069
ENSG00000223885,1.0800634822916875,1.0800634822916875
ENSG00000076201,1.0793233197170462,1.0793233197170462
ENSG00000112972,1.0770493451967946,1.0770493451967946
ENSG00000197496,1.0764096241910945,1.0764096241910945
ENSG00000076382,1.0737895671152733,1.0737895671152733
ENSG00000285560,1.0718979451909885,1.0718979451909885
ENSG00000234439,1.0707676027263877,1.0707676027263877
ENSG00000200279,1.0698725785873404,1.0698725785873404
ENSG00000268050,1.0695601192919935,1.0695601192919935
ENSG00000164104,1.0688825926535732,1.0688825926535732
ENSG00000227348,1.0688293460305895,1.0688293460305895
ENSG00000158856,1.068489890334888,1.068489890334888
ENSG00000244674,1.0683589371442188,1.0683589371442188
ENSG00000135503,1.0683100069999842,1.0683100069999842
ENSG00000182372,1.067865439514895,1.067865439514895
ENSG00000240622,1.0665030082244027,1.0665030082244027
ENSG00000100105,1.0664592474504595,1.0664592474504595
ENSG00000229399,1.066421879947028,1.066421879947028
ENSG00000159110,1.0640684694255083,1.0640684694255083
ENSG00000279059,1.0637557678118605,1.0637557678118605
ENSG00000268896,1.0616129977357631,1.0616129977357631
ENSG00000185666,1.0612138474919757,1.0612138474919757
ENSG00000258150,1.0610715586965316,1.0610715586965316
