File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
b75be4ae-3e12-4b53-8835-db4a6d0d169d	b5359159-c097-4f38-a15c-d45e65566a02.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-UT-A88E	TCGA-UT-A88E-01B	Tumor	Primary	Solid Tissue	OCT
501485c0-056e-4154-b055-4d0e846ae193	7e92060b-2dd0-4e1b-a3dd-d60f76d46b54.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A8AS	TCGA-TS-A8AS-01A	Tumor	Primary	Solid Tissue	OCT
81e728b5-2704-468e-aad0-f119b57268fd	31c57f1b-3599-47c1-b6c7-e43c1e53806d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-ZN-A9VO	TCGA-ZN-A9VO-01A	Tumor	Primary	Solid Tissue	OCT
5b8b0937-8995-4cd7-9899-c4a2f25028ab	b1bba60b-8eb4-47bc-98b7-32efa5a5316d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-UT-A88C	TCGA-UT-A88C-01B	Tumor	Primary	Solid Tissue	OCT
dd8193b7-a6cb-4869-8b38-cb214e45167a	2ddb230f-c1b0-4fbc-81a0-e7010c8caa03.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-MQ-A4LJ	TCGA-MQ-A4LJ-01A	Tumor	Primary	Solid Tissue	OCT
1ed5d528-93fc-4753-9ce4-cd9e9692d5ad	99c8935a-d5c4-47cd-9844-04639aa79789.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A7P7	TCGA-TS-A7P7-01A	Tumor	Primary	Solid Tissue	OCT
f396e137-2051-4778-853b-2a1addb805bc	2b3ed571-49fd-46f8-b9fa-5f7542eb209f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-UT-A97Y	TCGA-UT-A97Y-01A	Tumor	Primary	Solid Tissue	OCT
cc1ea8d1-e3e4-491e-ae62-9b0fe5114a1a	aa7a40ab-24ab-4419-963c-3ee48736cc52.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-YS-A95C	TCGA-YS-A95C-01A	Tumor	Primary	Solid Tissue	Unknown
ddc62adf-2cb7-4dac-95f3-6e9425120198	4820da1c-2163-4767-8e6d-e8ab287f14f9.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-LK-A4NZ	TCGA-LK-A4NZ-01A	Tumor	Primary	Solid Tissue	OCT
ac22c6be-2b2f-4e38-9864-70a70657264c	80fdf80b-67f4-4980-8c83-05ec7be2365c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-SC-A6LP	TCGA-SC-A6LP-01A	Tumor	Primary	Solid Tissue	OCT
624a6249-a594-48b2-a788-eae80e8d66dd	37f4a114-2d5d-4235-bc20-835149cbfdc1.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3U-A98E	TCGA-3U-A98E-01A	Tumor	Primary	Solid Tissue	OCT
d784a49b-2293-4c04-9b7a-c42630dee63e	5336daa0-37f2-4e19-87ae-66ad90756dcd.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-MQ-A4LC	TCGA-MQ-A4LC-01A	Tumor	Primary	Solid Tissue	OCT
86e3d592-e2e8-43de-afdb-1370d5bb9874	f9c6d817-42ff-4764-b2b3-5f9e65366f0e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-ZN-A9VP	TCGA-ZN-A9VP-01A	Tumor	Primary	Solid Tissue	OCT
ef8aaffc-25f2-4b37-b3df-e1ae7eeeb4db	cc42d946-23d4-4f51-8f41-03543202ce55.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3H-AB3M	TCGA-3H-AB3M-01A	Tumor	Primary	Solid Tissue	Unknown
11191d20-7ed3-4fcf-95a0-5ec9eb3a7c68	5f8d4f2d-321e-4bd8-93e2-402a1fe36c77.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-SH-A9CT	TCGA-SH-A9CT-01A	Tumor	Primary	Solid Tissue	OCT
75cc253f-572b-49a8-8d77-70f70999aed6	a4f60384-24ce-4ad4-840d-b2cbda12d3b8.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-NQ-A638	TCGA-NQ-A638-01A	Tumor	Primary	Solid Tissue	Unknown
d54e73dc-e43f-4798-8416-94e82db98cbd	5b9e5692-eea0-410f-9c72-00fb380ab642.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-SC-A6LN	TCGA-SC-A6LN-01A	Tumor	Primary	Solid Tissue	OCT
22c63576-1c49-4417-b805-7e49d538fb25	d9af7ff2-57a2-41af-82f0-79df32ad9697.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-YS-AA4M	TCGA-YS-AA4M-01A	Tumor	Primary	Solid Tissue	Unknown
a1ba7c84-36d1-4828-9c59-f53712b4d6ac	d746defa-ef91-410e-9eed-3584d5c8298b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-LK-A4O4	TCGA-LK-A4O4-01A	Tumor	Primary	Solid Tissue	OCT
